_date,total_views,unique_views
2023-10-03,28,7
2023-10-04,69,12
2023-10-05,18,7
2023-10-06,1,1
2023-10-07,5,1
2023-10-08,7,1
2023-10-09,12,3
2023-10-10,4,3
2023-10-11,14,10
2023-10-12,27,7
2023-10-13,47,7
2023-10-14,21,2
2023-10-15,2,1
2023-10-16,82,8
2023-10-17,9,9
2023-10-18,4,4
2023-10-19,8,5
2023-10-20,12,5
2023-10-22,3,1
2023-10-23,10,7
2023-10-24,32,13
2023-10-25,36,5
2023-10-26,9,7
2023-10-27,106,11
2023-10-28,84,4
2023-10-29,71,4
2023-10-30,59,7
2023-10-31,27,9
2023-11-01,18,7
2023-11-02,24,10
2023-11-03,6,6
2023-11-06,45,10
2023-11-07,41,13
2023-11-08,14,9
2023-11-09,28,6
2023-11-10,25,7
2023-11-11,11,5
2023-11-12,1,1
2023-11-13,107,5
2023-11-14,7,2
2023-11-15,2,2
2023-11-16,20,6
2023-11-17,45,6
2023-11-18,1,1
2023-11-19,1,1
2023-11-20,13,5
2023-11-21,9,3
2023-11-22,18,5
2023-11-23,39,7
2023-11-25,3,2
2023-11-26,1,1
2023-11-27,24,10
2023-11-28,21,9
2023-11-29,4,2
2023-11-30,23,4
2023-12-01,56,3
2023-12-02,11,4
2023-12-04,10,4
2023-12-05,18,5
2023-12-06,48,11
2023-12-07,44,11
2023-12-08,42,6
2023-12-11,35,10
2023-12-12,24,7
2023-12-13,29,4
2023-12-14,37,9
2023-12-15,97,7
2023-12-16,2,1
2023-12-17,13,4
2023-12-18,11,2
2023-12-19,21,5
2023-12-20,28,9
2023-12-21,10,7
2023-12-22,6,3
2023-12-26,8,3
2023-12-27,42,2
2023-12-28,4,2
2023-12-30,1,1
2024-01-01,9,1
2024-01-02,10,5
2024-01-03,2,2
2024-01-04,27,3
2024-01-05,9,4
2024-01-06,3,2
2024-01-07,23,2
2024-01-08,4,4
2024-01-09,20,3
2024-01-10,6,4
2024-01-11,10,2
2024-01-12,4,3
2024-01-16,11,6
2024-01-17,20,5
2024-01-18,24,8
2024-01-19,20,7
2024-01-21,3,1
2024-01-22,53,7
2024-01-23,2,2
2024-01-24,11,7
2024-01-25,41,6
2024-01-26,3,2
2024-01-27,3,2
2024-01-28,2,1
2024-01-29,10,4
2024-01-30,75,7
2024-01-31,61,6
2024-02-01,71,6
2024-02-02,25,7
2024-02-04,34,3
2024-02-05,10,4
2024-02-06,37,6
2024-02-07,74,6
2024-02-08,16,7
2024-02-09,13,6
2024-02-10,2,2
2024-02-11,1,1
2024-02-12,21,5
2024-02-13,21,9
2024-02-14,14,4
2024-02-15,26,5
2024-02-16,4,2
2024-02-17,1,1
2024-02-18,1,1
2024-02-19,6,3
2024-02-20,23,7
2024-02-21,6,4
2024-02-22,10,6
2024-02-23,2,2
2024-02-25,36,6
2024-02-26,34,8
2024-02-27,11,4
2024-02-28,52,10
2024-02-29,40,7
2024-03-01,53,5
2024-03-02,1,1
2024-03-04,15,5
2024-03-05,68,8
